时间轴,分类,节目名称,演出者,符号类型,协商策略,标签,弹幕类型总结/偏好
绪论：0:13:01-0:15:46,挪用,《方山大鼓：象王行》,"南京工程学院 天印大鼓社
河海大学 龙狮社",方山大鼓、醒狮,完整呈现、由大学生社团开展，自设舞台,"舞狮, 传统器乐, 非遗","xxx大学发来贺电
（绪论-开场舞）"
第一章：0:23:21-0:25:20,拼贴,《武术》,南京体育学院 小志武术组,卡通睡衣（抽象鸭、忍者神龟）悲伤蛙,抽象睡衣、电影画面、永劫无间游戏画面转场,"悲伤蛙, 游戏, 电影",功夫蛙、哈哈哈哈哈哈、强、帅、真会啊、永劫无间打钱
第一章：0:25:21-0:28:50,拼贴,"《蒙古长调：
剪耳黑骏马》",内蒙古民族大学、师范大学,蒙古乐器与吉他、蒙语与rap,"蒙古背景、蒙语服装
阿拉腾八根、原创说唱、运镜与特效文字","传统器乐, 蒙古长调, 说唱",民族、专业、吃草、哔哩哔哩干杯
第二章：0:33:43-0:34:21,拼贴,《十二生肖闯江湖》,吉林艺术学院 学生,十二生肖,十二生肖与对应的现代抽象IP与穿搭（蛇精、龙图、暹罗厘普、粉红兔子、小羊肖恩）,"十二生肖, 潮流ip",抽象、哈哈哈哈哈哈
第二章：0:38:34-0:48:24,重构,"《中国人不蹦洋迪》
《乐器串烧》",南传、南昌大学、兰财、湛江科技,琵琶、古筝、扬琴、唢呐、二胡、竹笛与流行歌曲与台词,传统乐器演绎甄嬛传台词、蹦迪歌曲（碧梨、maneskin、护花使者、猪猪侠主题曲、西游记主题曲、海灯节主题曲、仙剑奇侠传主题曲、起风了）竹笛与萨克斯演奏《起风了》，古筝与吉他、小提琴演奏《兰亭序》,"传统器乐, 流行歌曲",绝对音感，？，也算传下来了、礼崩乐坏，厉害，好听
第二章：0:48:25-0:52:06,拼贴,《寄明月》,四川大学,古风、电子、歌舞,古风改编歌曲由大学生女团演绎,新国风,川大、招生、寄明月
第三章：0:59:18-1:1:00,拼贴,《舞狮、变脸、喷火》,"湖北汽车工业学院
上海海事职业技术学院",川剧变脸、舞狮、喷火,醒狮是借助宋浩、汤家凤、刘晓艳等大学名师的语录“醒”的。舞狮与川剧变脸借助BGM营造爱情偶像剧浪漫氛围,"川剧变脸, 舞狮, 喷火",好牛、老祖宗：好歹是传下来了，好帅，？
第三章：1:1:01-1:06:00,重构,《传统贯口：老爹大战米奇》,南传,贯口相声、动画片,用传统贯口的形式，说书的口吻讲述动画片中的人物的离谱故事。改编自三国贯口《莽撞人》,"相声贯口, 动画片",哈哈哈哈哈哈，手语老师辛苦，动画大乱炖
第三章：1:06:01-1:06:50,重构,豫剧《铡美案》选段,江苏信息技术职业学院,豫剧、猫meme,音源：豫剧《包青天》将豫剧音频与画面与猫meme结合在一起,"传统戏剧, 猫meme",豫剧、手语
第三章：1:06:51-1:08:50,挪用,京剧《昭君出塞》片段,中国戏曲学院京剧表演专业研究生,京剧,由大学生演绎京剧,传统戏剧,专业、高手、好、厉害
第三章：1:08:52-1:12:30,重构,《见春山》MV,UP主，方山厨子,古风,古风歌曲与动漫手书,"古风歌曲, 手书",好，老师太全面了，各种诗句的刷屏
第四章：1:17:05-1:18:40,挪用,《西藏热巴鼓舞》,华南农业大学,民族舞,由大学生演绎,民族舞,生命力，厉害
第四章：1:19:43-1:21:10,挪用,《打铁花》表演,非遗表演者,打铁花,邀请非遗表演者表演打铁花，为大家送上祝福,非遗,上岸、平安、许愿
第四章：1:38:11-1:40:56,挪用,《新疆舞：亚丽古拉》,上海立信会计金融学院,新疆舞,由大学生演绎,民族舞,好美、民族团结
